CONSTTK const
IDENFR a1
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR a1
EQL ==
INTCON 4
RPARENT )
IDENFR a1
ASSIGN =
INTCON 5
SEMICN ;
BREAKTK break
SEMICN ;
CONTINUETK continue
SEMICN ;
RBRACE }
IDENFR a1
ASSIGN =
INTCON 3
DIV /
INTCON 5
SEMICN ;
IDENFR a1
ASSIGN =
IDENFR a1
MOD %
INTCON 6
SEMICN ;
IDENFR a1
ASSIGN =
INTCON 2
SEMICN ;
IFTK if
LPARENT (
IDENFR a1
EQL ==
INTCON 2
RPARENT )
LBRACE {
IDENFR a1
ASSIGN =
INTCON 3
SEMICN ;
IDENFR a1
ASSIGN =
INTCON 4
SEMICN ;
RBRACE }
WHILETK while
LPARENT (
IDENFR a1
EQL ==
INTCON 4
RPARENT )
LBRACE {
IDENFR a1
ASSIGN =
IDENFR a1
PLUS +
INTCON 1
SEMICN ;
CONTINUETK continue
SEMICN ;
RBRACE }
IFTK if
LPARENT (
IDENFR a1
EQL ==
INTCON 5
AND &&
IDENFR a1
EQL ==
INTCON 4
RPARENT )
IDENFR a1
ASSIGN =
INTCON 6
SEMICN ;
IFTK if
LPARENT (
IDENFR a1
NEQ !=
INTCON 6
OR ||
IDENFR a1
EQL ==
INTCON 3
RPARENT )
IDENFR a1
ASSIGN =
IDENFR a0
SEMICN ;
INTTK int
IDENFR a2
LBRACK [
INTCON 2
RBRACK ]
COMMA ,
IDENFR a3
LBRACK [
INTCON 2
RBRACK ]
ASSIGN =
LBRACE {
INTCON 1
COMMA ,
INTCON 2
RBRACE }
SEMICN ;
INTTK int
IDENFR a4
LBRACK [
INTCON 2
RBRACK ]
LBRACK [
INTCON 2
RBRACK ]
ASSIGN =
LBRACE {
LBRACE {
INTCON 1
COMMA ,
INTCON 2
RBRACE }
COMMA ,
LBRACE {
INTCON 3
COMMA ,
INTCON 4
RBRACE }
RBRACE }
COMMA ,
IDENFR a5
LBRACK [
INTCON 3
RBRACK ]
ASSIGN =
LBRACE {
INTCON 1
COMMA ,
INTCON 2
COMMA ,
INTCON 3
RBRACE }
SEMICN ;
INTTK int
IDENFR a6
LBRACK [
INTCON 2
RBRACK ]
LBRACK [
INTCON 2
RBRACK ]
ASSIGN =
LBRACE {
LBRACE {
INTCON 1
COMMA ,
INTCON 2
RBRACE }
COMMA ,
LBRACE {
INTCON 1
COMMA ,
INTCON 2
RBRACE }
RBRACE }
SEMICN ;
INTTK int
IDENFR C
LBRACK [
INTCON 2
RBRACK ]
ASSIGN =
LBRACE {
INTCON 4
PLUS +
INTCON 2
DIV /
INTCON 4
MULT *
INTCON 2
MOD %
INTCON 6
MINU -
INTCON 5
COMMA ,
INTCON 9
RBRACE }
SEMICN ;
IDENFR C
LBRACK [
INTCON 0
RBRACK ]
ASSIGN =
IDENFR fd
LPARENT (
IDENFR a1
RPARENT )
SEMICN ;
IDENFR C
LBRACK [
INTCON 1
RBRACK ]
ASSIGN =
IDENFR fk
LPARENT (
IDENFR C
LBRACK [
INTCON 1
RBRACK ]
COMMA ,
IDENFR a2
COMMA ,
IDENFR a4
RPARENT )
SEMICN ;
INTTK int
IDENFR n
ASSIGN =
INTCON 4
SEMICN ;
IDENFR n
ASSIGN =
GETINTTK getint
LPARENT (
RPARENT )
SEMICN ;
IDENFR f
LPARENT (
RPARENT )
SEMICN ;
IDENFR ff
LPARENT (
IDENFR C
LBRACK [
INTCON 1
RBRACK ]
COMMA ,
IDENFR a4
LBRACK [
INTCON 1
RBRACK ]
LBRACK [
INTCON 0
RBRACK ]
COMMA ,
IDENFR a6
LBRACK [
INTCON 1
RBRACK ]
LBRACK [
INTCON 1
RBRACK ]
RPARENT )
SEMICN ;
IDENFR n
ASSIGN =
IDENFR fd
LPARENT (
INTCON 3
PLUS +
IDENFR a0
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
