VOIDTK void
IDENFR i_a
RPARENT )
SEMICN ;
RBRACE }
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "out block i_a = %d\n"
COMMA ,
IDENFR i_a
RPARENT )
SEMICN ;
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "t\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "t\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "t\n"
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "t"
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
