CONSTTK const
RBRACE }
INTTK int
IDENFR i
ASSIGN =
INTCON 0
SEMICN ;
WHILETK while
LPARENT (
INTCON 1
RPARENT )
LBRACE {
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
SEMICN ;
IFTK if
LPARENT (
IDENFR i
MOD %
INTCON 2
NEQ !=
INTCON 0
RPARENT )
LBRACE {
CONTINUETK continue
SEMICN ;
RBRACE }
IFTK if
LPARENT (
IDENFR i
GEQ >=
IDENFR b
RPARENT )
LBRACE {
BREAKTK break
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IFTK if
LPARENT (
IDENFR c
LSS <
INTCON 10
RPARENT )
LBRACE {
IDENFR c
ASSIGN =
IDENFR c
PLUS +
IDENFR i
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IDENFR c
ASSIGN =
IDENFR c
MINU -
IDENFR i
SEMICN ;
RBRACE }
RBRACE }
RBRACE }
PRINTFTK printf
LPARENT (
STRCON "blockTest: 5 == %d, 12 == %d\n"
COMMA ,
IDENFR b
COMMA ,
IDENFR c
RPARENT )
SEMICN ;
RBRACE }
INTTK int
IDENFR f
ASSIGN =
IDENFR n
COMMA ,
IDENFR g
ASSIGN =
INTCON 0
SEMICN ;
IFTK if
LPARENT (
IDENFR f
LSS <
INTCON 0
RPARENT )
LBRACE {
IDENFR g
ASSIGN =
INTCON 10
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IFTK if
LPARENT (
IDENFR f
GRE >
INTCON 10
RPARENT )
LBRACE {
IDENFR g
ASSIGN =
INTCON 20
SEMICN ;
RBRACE }
ELSETK else
LBRACE {
IFTK if
LPARENT (
IDENFR f
EQL ==
IDENFR n
RPARENT )
LBRACE {
IDENFR g
ASSIGN =
INTCON 30
SEMICN ;
RBRACE }
RBRACE }
RBRACE }
IFTK if
LPARENT (
IDENFR f
LEQ <=
INTCON 10
RPARENT )
LBRACE {
IDENFR g
ASSIGN =
IDENFR g
PLUS +
IDENFR f
SEMICN ;
RBRACE }
PRINTFTK printf
LPARENT (
STRCON "Exptest: %d %d %d %d %d"
COMMA ,
IDENFR a_to_the_a
COMMA ,
IDENFR b
COMMA ,
IDENFR c
COMMA ,
IDENFR d
COMMA ,
IDENFR e
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON " %d %d %d\n"
COMMA ,
IDENFR f
COMMA ,
IDENFR g
COMMA ,
IDENFR t
RPARENT )
SEMICN ;
RETURNTK return
IDENFR gcd
LPARENT (
IDENFR f
COMMA ,
IDENFR g
RPARENT )
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "20373569 the mafia~\n"
RPARENT )
SEMICN ;
IDENFR n
ASSIGN =
GETINTTK getint
LPARENT (
RPARENT )
SEMICN ;
IDENFR hanoi
LPARENT (
IDENFR n
COMMA ,
INTCON 1
COMMA ,
INTCON 2
COMMA ,
INTCON 3
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "Exptest: %d\n"
COMMA ,
IDENFR testExp
LPARENT (
RPARENT )
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
